id,name,lat,long,location_name,region_name,country_name
103160,"Rasdhoo Reef (Channel)",4.26044,73.0008,"Rasdhoo Atoll","Océan indien",Maldives
104405,"Feydhoo Faru",4.21544,73.4866,"Male Atoll","Laccadive Sea",Maldives
104406,"Bathalaa Maagaa Kan Thila",4.05895,72.956,"Ari Atoll","Indian Ocean",Maldives
104407,"Bathalaa Thila",4.07012,72.9502,"Ari Atoll","Indian Ocean",Maldives
104432,"Embudu Express",4.08779,73.5348,"Male Atoll","Laccadive Sea",Maldives
104436,"Nassimo Thila",4.27355,73.5393,"Dhonveli Island, North Male Atoll","Laccadive Sea",Maldives
104999,Vaggiri,3.90427,73.4508,"atoll Mahe sud","Laccadive Sea",Maldives
105041,"Bathalaa Maagaa Kan Thila",4.06078,72.9576,"North Ari Atoll","Océan indien",Maldives
105042,"Fesdu Lagoon",3.99027,72.787,"North Ari Atoll","Indian Ocean",Maldives
105044,Panettone,3.8,72.7,"Ari Atoll","Océan indien",Maldives
105046,"Fenfushi Beru",3.4749,72.79,"South Ari Atoll","Océan indien",Maldives
105047,"Maamigili Beru",3.46831,72.8392,"South Ari Atoll","Océan indien",Maldives
105048,"Kudarah Thila",3.56902,72.9155,"Ari Atoll","Océan indien",Maldives
105049,"Kudhimaa Wreck",3.5944,72.8852,"South Ari Atoll","Indian Ocean",Maldives
105063,Kunavashi,3.63581,73.3614,"Felidhe Atoll","Océan indien",Maldives
105064,"Miyaru Kandu",3.59805,73.5019,"Felidhoo Atoll","Océan indien",Maldives
105065,"Alimathaa Ponton",3.59074,73.498,"Vaavu Atoll","Océan indien",Maldives
105066,"Guraidhoo Corner",3.89,73.4684," Atoll Male Sud","Océan indien",Maldives
105067,Embudhoo,4.08636,73.5303,"South Male Atoll","Océan indien",Maldives
105232,"Gaahuraa Kandu",3.14198,73.5237,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
105233,"Burulu Corner",2.74888,73.3869,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
105234,"Dhiyamigili Corner",2.33803,73.33,"Thaa Atoll","Laccadive Sea",Maldives
105235,"Hithadhoo Corner",1.80199,73.3926,"Laamu Atoll","Laccadive Sea",Maldives
105236,"Mushimasmingili Thila / Fish Head",3.94345,72.9384,"North Ari Atoll","Ari Atoll",Maldives
105237,"Maavaru Kuda Thila",5.1516,72.861,"Baa atoll ","Indian Ocean",Maldives
105239,"Dhiffushi Kandu",2.51304,73.2329,"Thaa Atoll","Laccadive Sea",Maldives
105240,"Fushi Kandu",2.6965,72.8631,"Dhaalu Atoll"," 3° 51.495', 72° 54.754'",Maldives
105243,"Vaadhoo Thila",0.234227,73.2585,"Gaafu Dhaalu Atoll","Indian Ocean",Maldives
105244,Villingili,0.755209,73.4241,"Gaafu Alif Atoll","Laccadive Sea",Maldives
105246,Nilandhoo,0.632491,73.4331,"Gaafu Alif Atoll","Laccadive Sea",Maldives
105247,Kooddoo,0.721942,73.429,"Gaafu Alif Atoll","Laccadive Sea",Maldives
105248,"Hithadhoo Faru",-0.610435,73.0783,"Addu Atoll","Laccadive Sea",Maldives
105249,Gaadhoo,1.81076,73.4486,"Laamu Atoll","Medhufushi Meemu Atoll",Maldives
105250,"Fushi Kandu",2.04625,73.5377,"Laamu Atoll","Indian Ocean",Maldives
105252,Olugiri,2.5117,73.2576,"Thaa Atoll","Laccadive Sea",Maldives
105253,Kurali,2.77855,73.378,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
105254,"Muli Corner",2.93148,73.5881,"Medhufushi Meemu Atoll",Meppel,Maldives
105255,Vanhuravalhi,3.14884,73.5277,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
105256,Maduvvari,3.11216,73.5802,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
105257,Kondey,0.492758,73.5597,"Gaafu Alif Atoll","Laccadive Sea",Maldives
105276,"Coral City",5.08229,73.4815,"Nord Nilandhe Atoll, Filitheyo","Indian Ocean",Maldives
105277,"Strings Of Pearls",3.21382,73.0368,"Nord Nilandhe Atoll, Filitheyo","Indian Sea",Maldives
105278,"Fish Pan",3.21382,73.0368,"Nord Nilandhe Atoll, Filitheyo","Indian Sea",Maldives
105287,"Viligili Kandu",0.745373,73.4341,"Huvadhoo Atoll","Laccadive Sea",Maldives
